start_time,end_time,key_index,midi_note,finger_id,x,y,z
60.56,60.720000000000006,26,65,4,980,828,-0.001452803728170693
60.040000000000006,60.760000000000005,27,67,8,1006,778,-0.010215966030955315
60.040000000000006,60.760000000000005,29,71,20,1103,795,-0.010694921016693115
60.040000000000006,60.800000000000004,28,69,12,1046,760,-0.013076274655759335
60.040000000000006,60.88,23,60,4,927,829,-0.010289445519447327
60.040000000000006,60.92,24,62,4,983,817,-0.0028677345253527164
60.080000000000005,60.92,25,64,4,922,812,-0.013983290642499924
60.040000000000006,60.92,31,74,20,759,745,-0.022736020386219025
61.2,61.64,28,69,12,1063,751,-0.011340955272316933
61.28,61.68,26,65,4,979,836,-0.010231059044599533
60.92,61.720000000000006,20,55,20,741,818,-0.023771552368998528
61.64,61.720000000000006,24,62,4,893,880,-0.018739763647317886
61.16000000000001,61.760000000000005,27,67,8,999,782,-0.01644914783537388
60.84,61.96,22,59,8,866,741,-0.023091943934559822
61.120000000000005,61.96,23,60,8,850,835,-0.029452510178089142
61.28,62.28,32,76,20,1144,820,-0.007879260927438736
62.040000000000006,62.400000000000006,18,52,4,761,795,-0.01841234415769577
62.0,62.440000000000005,19,53,4,780,781,-0.02238350547850132
61.040000000000006,62.480000000000004,31,74,20,1119,739,-0.024004997685551643
62.36000000000001,62.56,22,59,4,794,812,-0.02209826186299324
60.040000000000006,62.6,30,72,16,1077,761,-0.01498811412602663
60.84,62.760000000000005,29,71,20,1102,754,-0.014340875670313835
60.84,62.88,21,57,16,772,740,-0.01780730113387108
62.92,63.040000000000006,26,65,12,970,735,-0.010179676115512848
62.88,63.16000000000001,23,60,4,873,831,-0.002501207869499922
62.800000000000004,63.16000000000001,24,62,4,881,831,0.001992845209315419
62.800000000000004,63.2,25,64,12,960,742,-0.013779645785689354
62.400000000000006,63.2,27,67,4,1012,836,-0.006134641356766224
61.720000000000006,63.32,28,69,8,1047,767,-0.014701388776302338
63.32,63.400000000000006,17,50,20,644,798,0.00017673805996309966
63.32,63.400000000000006,25,64,4,906,843,-0.014501255936920643
63.0,63.480000000000004,18,52,4,733,857,0.003323855111375451
62.84,63.52,19,53,4,749,812,-0.007223031017929316
63.440000000000005,63.6,28,69,12,1050,761,-0.012959126383066177
63.120000000000005,63.68,21,57,4,750,842,-0.000520608329679817
61.800000000000004,63.760000000000005,20,55,16,772,795,-0.014964966103434563
63.6,63.800000000000004,19,53,12,731,778,-0.02039250172674656
64.0,64.12,13,43,4,589,773,-0.02615121752023697
63.68,64.12,28,69,12,1051,737,-0.016430534422397614
63.800000000000004,64.12,31,74,20,1102,788,-0.006490284111350775
63.28,64.2,24,62,4,904,827,-0.013821907341480255
63.32,64.2,27,67,12,1023,752,-0.01603851653635502
63.88,64.24000000000001,14,45,4,606,756,-0.01959317736327648
63.480000000000004,64.24000000000001,25,64,4,912,842,-0.01094315480440855
63.88,64.52,15,47,4,909,830,-0.0103349220007658
64.12,64.88000000000001,16,48,4,612,794,-0.018536105751991272
64.44,64.92,17,50,8,638,756,-0.027730943635106087
64.64,64.92,27,67,4,762,852,-0.02395027130842209
64.72,65.0,31,74,4,944,828,-0.011294616386294365
64.64,65.04,26,65,4,938,806,-0.013317243196070194
64.24000000000001,65.08,28,69,20,1093,781,-0.011592480354011059
65.12,65.32000000000001,14,45,20,566,775,-0.016190819442272186
64.60000000000001,65.48,20,55,4,764,850,-0.02388128452003002
65.0,65.56,17,50,16,620,744,-0.027672985568642616
63.24,65.56,30,72,20,1059,790,-0.0072331978008151054
65.08,65.60000000000001,24,62,4,903,806,-0.01711604744195938
64.56,65.64,25,64,4,914,796,-0.018222248181700706
65.12,65.8,15,47,16,606,737,-0.022484011948108673
63.040000000000006,65.8,29,71,20,1044,791,-0.01423334889113903
65.72,65.84,24,62,4,914,841,-0.013879631645977497
65.92,66.04,24,62,4,908,824,-0.006263813469558954
65.88000000000001,66.24000000000001,20,55,4,764,864,-0.02767164818942547
65.92,66.24000000000001,29,71,20,1030,782,-0.017340507358312607
65.92,66.32000000000002,14,45,20,552,813,-0.024482714012265205
65.72,66.32000000000002,25,64,8,890,764,-0.027992863208055496
64.48,66.36,18,52,4,761,848,-0.023335179314017296
64.96000000000001,66.36,19,53,4,763,854,-0.0183627437800169
65.64,66.4,17,50,8,706,752,-0.02538677304983139
65.76,66.56,16,48,16,611,739,-0.0228086169809103
65.8,66.56,26,65,12,958,761,-0.011966023594141006
66.44,66.64,15,47,4,642,814,-0.024577097967267036
66.56,66.76,12,41,16,469,742,-0.014716372825205326
66.28,66.76,24,62,8,910,779,-0.007186384871602058
66.48,66.8,13,43,8,559,737,-0.03394148871302605
66.48,66.8,14,45,4,636,830,-0.02550904080271721
66.56,66.88000000000001,25,64,4,887,802,-0.0032552743796259165
66.68,66.88000000000001,26,65,16,999,738,-0.023088423535227776
65.68,66.92,27,67,20,1046,748,-0.03018973022699356
66.96000000000001,67.24000000000001,19,53,16,728,798,-0.0075534433126449585
67.04,67.24000000000001,30,72,8,925,749,-0.02678057737648487
66.96000000000001,67.68,22,59,4,782,848,-0.013787713833153248
66.92,67.72,21,57,8,781,783,-0.027904430404305458
67.68,67.8,19,53,4,753,790,-0.0027716858312487602
66.92,67.8,20,55,4,788,851,-0.014844770543277264
67.60000000000001,67.8,26,65,4,915,790,-0.017873652279376984
66.76,67.92,29,71,20,1051,779,-0.02103225514292717
67.8,68.04,18,52,4,726,785,-0.02086099237203598
68.08,68.2,14,45,20,533,792,-0.03071565367281437
67.84,68.2,17,50,4,716,796,-0.019715813919901848
68.16,68.28,29,71,20,1037,823,-0.011745627038180828
68.0,68.32000000000002,15,47,16,575,746,-0.024419253692030907
66.88000000000001,68.36,24,62,4,906,811,-0.014044408686459064
65.2,68.44,28,69,4,909,805,-0.019131217151880264
68.36,68.64,13,43,20,527,834,-0.026786457747220993
68.48,68.64,15,47,16,569,791,-0.03452841192483902
68.44,68.64,24,62,4,892,857,-0.003104519098997116
67.92,68.72,16,48,8,660,740,-0.022918930277228355
68.36,68.72,17,50,8,655,789,-0.03879184648394585
66.96000000000001,68.72,25,64,4,904,793,-0.011199157685041428
68.60000000000001,68.84,18,52,4,730,849,-0.028914768248796463
68.8,68.88000000000001,17,50,16,630,735,-0.0195414200425148
68.64,69.04,19,53,4,734,844,-0.025726348161697388
69.0,69.12,25,64,16,953,770,-0.00031716335797682405
67.92,69.2,26,65,12,966,750,-0.021620415151119232
69.12,69.28,19,53,4,793,784,-0.012278149835765362
69.28,69.44,26,65,12,987,740,-0.024855324998497963
69.28,69.48,25,64,8,947,748,-0.028462274000048637
69.24000000000001,69.72,16,48,4,823,758,-0.009512674994766712
68.84,69.84,20,55,4,752,829,-0.011048605665564537
69.04,69.92,21,57,4,774,775,-0.020564239472150803
