time_sec,type,midi_note
60.040000000000006,on,60
60.040000000000006,on,62
60.040000000000006,on,67
60.040000000000006,on,69
60.040000000000006,on,71
60.040000000000006,on,72
60.040000000000006,on,74
60.080000000000005,on,64
60.56,on,65
60.720000000000006,off,65
60.760000000000005,off,67
60.760000000000005,off,71
60.800000000000004,off,69
60.84,on,57
60.84,on,59
60.84,on,71
60.88,off,60
60.92,off,62
60.92,off,64
60.92,off,74
60.92,on,55
61.040000000000006,on,74
61.120000000000005,on,60
61.16000000000001,on,67
61.2,on,69
61.28,on,65
61.28,on,76
61.64,off,69
61.64,on,62
61.68,off,65
61.720000000000006,off,55
61.720000000000006,off,62
61.720000000000006,on,69
61.760000000000005,off,67
61.800000000000004,on,55
61.96,off,59
61.96,off,60
62.0,on,53
62.040000000000006,on,52
62.28,off,76
62.36000000000001,on,59
62.400000000000006,off,52
62.400000000000006,on,67
62.440000000000005,off,53
62.480000000000004,off,74
62.56,off,59
62.6,off,72
62.760000000000005,off,71
62.800000000000004,on,62
62.800000000000004,on,64
62.84,on,53
62.88,off,57
62.88,on,60
62.92,on,65
63.0,on,52
63.040000000000006,off,65
63.040000000000006,on,71
63.120000000000005,on,57
63.16000000000001,off,60
63.16000000000001,off,62
63.2,off,64
63.2,off,67
63.24,on,72
63.28,on,62
63.32,off,69
63.32,on,50
63.32,on,64
63.32,on,67
63.400000000000006,off,50
63.400000000000006,off,64
63.440000000000005,on,69
63.480000000000004,off,52
63.480000000000004,on,64
63.52,off,53
63.6,off,69
63.6,on,53
63.68,off,57
63.68,on,69
63.760000000000005,off,55
63.800000000000004,off,53
63.800000000000004,on,74
63.88,on,45
63.88,on,47
64.0,on,43
64.12,off,43
64.12,off,69
64.12,off,74
64.12,on,48
64.2,off,62
64.2,off,67
64.24000000000001,off,45
64.24000000000001,off,64
64.24000000000001,on,69
64.44,on,50
64.48,on,52
64.52,off,47
64.56,on,64
64.60000000000001,on,55
64.64,on,65
64.64,on,67
64.72,on,74
64.88000000000001,off,48
64.92,off,50
64.92,off,67
64.96000000000001,on,53
65.0,off,74
65.0,on,50
65.04,off,65
65.08,off,69
65.08,on,62
65.12,on,45
65.12,on,47
65.2,on,69
65.32000000000001,off,45
65.48,off,55
65.56,off,50
65.56,off,72
65.60000000000001,off,62
65.64,off,64
65.64,on,50
65.68,on,67
65.72,on,62
65.72,on,64
65.76,on,48
65.8,off,47
65.8,off,71
65.8,on,65
65.84,off,62
65.88000000000001,on,55
65.92,on,45
65.92,on,62
65.92,on,71
66.04,off,62
66.24000000000001,off,55
66.24000000000001,off,71
66.28,on,62
66.32000000000002,off,45
66.32000000000002,off,64
66.36,off,52
66.36,off,53
66.4,off,50
66.44,on,47
66.48,on,43
66.48,on,45
66.56,off,48
66.56,off,65
66.56,on,41
66.56,on,64
66.64,off,47
66.68,on,65
66.76,off,41
66.76,off,62
66.76,on,71
66.8,off,43
66.8,off,45
66.88000000000001,off,64
66.88000000000001,off,65
66.88000000000001,on,62
66.92,off,67
66.92,on,55
66.92,on,57
66.96000000000001,on,53
66.96000000000001,on,59
66.96000000000001,on,64
67.04,on,72
67.24000000000001,off,53
67.24000000000001,off,72
67.60000000000001,on,65
67.68,off,59
67.68,on,53
67.72,off,57
67.8,off,53
67.8,off,55
67.8,off,65
67.8,on,52
67.84,on,50
67.92,off,71
67.92,on,48
67.92,on,65
68.0,on,47
68.04,off,52
68.08,on,45
68.16,on,71
68.2,off,45
68.2,off,50
68.28,off,71
68.32000000000002,off,47
68.36,off,62
68.36,on,43
68.36,on,50
68.44,off,69
68.44,on,62
68.48,on,47
68.60000000000001,on,52
68.64,off,43
68.64,off,47
68.64,off,62
68.64,on,53
68.72,off,48
68.72,off,50
68.72,off,64
68.8,on,50
68.84,off,52
68.84,on,55
68.88000000000001,off,50
69.0,on,64
69.04,off,53
69.04,on,57
69.12,off,64
69.12,on,53
69.2,off,65
69.24000000000001,on,48
69.28,off,53
69.28,on,64
69.28,on,65
69.44,off,65
69.48,off,64
69.72,off,48
69.84,off,55
69.92,off,57
