epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.473,1.2436,1.99975,1.30516,0.41644,0.96667,0.70893,0.4249,0.76865,3.34566,0.90344,0.00027151,0.00027151,0.00027151
2,422.86,0.58581,0.9993,0.87095,0.54425,0.93935,0.797,0.58082,0.743,1.54676,0.89795,0.000502136,0.000502136,0.000502136
3,643.715,0.59212,0.96545,0.87251,0.72831,0.97916,0.84195,0.61737,0.65017,1.42621,0.87171,0.000676174,0.000676174,0.000676174
4,864.03,0.53421,0.89614,0.85922,0.60401,0.82742,0.71899,0.40242,0.91307,1.27886,0.96813,0.000793624,0.000793624,0.000793624
5,1083.3,0.49822,0.85326,0.84456,0.87625,0.85272,0.90914,0.66228,0.77482,0.88703,0.88449,0.000854485,0.000854485,0.000854485
6,1301.73,0.53896,0.81065,0.86497,0.9374,0.97081,0.97734,0.81257,0.52518,0.61588,0.79839,0.000721645,0.000721645,0.000721645
7,1520.83,0.47261,0.63095,0.8438,0.88979,0.94497,0.96202,0.81262,0.47327,0.66946,0.78111,0.000580174,0.000580174,0.000580174
8,1740.18,0.44252,0.52842,0.83194,0.93499,0.83287,0.84357,0.70232,0.61121,0.6447,0.85171,0.000438703,0.000438703,0.000438703
9,1961.77,0.40834,0.41599,0.82059,0.9478,0.99078,0.97393,0.82422,0.44125,0.36215,0.78696,0.000297232,0.000297232,0.000297232
10,2180.17,0.37581,0.33629,0.81527,0.96684,0.99693,0.98269,0.85458,0.3906,0.27325,0.76348,0.000155761,0.000155761,0.000155761
