epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4234,1.6127,3.45113,1.44378,0.01818,0.45556,0.23652,0.13079,0.91151,3.40735,0.92796,0.00027151,0.00027151,0.00027151
2,55.3802,0.81944,1.93754,0.92193,0.02464,0.71951,0.48091,0.31572,1.09506,2.91985,1.11126,0.000551793,0.000551793,0.000551793
3,82.446,0.71411,0.96291,0.90661,1,0.31106,0.65626,0.46799,0.82153,2.18212,0.85517,0.000826416,0.000826416,0.000826416
4,109.968,0.62822,0.74498,0.8839,0.98569,0.66667,0.98575,0.73374,0.65136,1.32309,0.80775,0.00109538,0.00109538,0.00109538
5,137.578,0.5585,0.63227,0.85124,0.96428,0.80115,0.98468,0.76454,0.57027,0.82584,0.78702,0.00135869,0.00135869,0.00135869
6,166.458,0.54972,0.61883,0.85482,0.97316,1,0.98575,0.79443,0.5726,0.64603,0.79291,0.00135826,0.00135826,0.00135826
7,196.212,0.53287,0.56982,0.84246,0.97003,1,0.97898,0.75686,0.60838,0.55769,0.80631,0.00134412,0.00134412,0.00134412
8,222.866,0.50845,0.53718,0.83534,0.97074,1,0.9772,0.77864,0.47703,0.47203,0.77116,0.00132997,0.00132997,0.00132997
9,249.424,0.49781,0.51438,0.83854,0.97293,1,0.9743,0.81125,0.45638,0.4516,0.77095,0.00131582,0.00131582,0.00131582
10,275.915,0.46946,0.49361,0.83965,0.97442,1,0.97823,0.83071,0.40564,0.39036,0.75949,0.00130168,0.00130168,0.00130168
11,303.151,0.44888,0.46174,0.82871,0.97519,1,0.9793,0.84395,0.40438,0.40278,0.76363,0.00128753,0.00128753,0.00128753
12,329.813,0.42151,0.44147,0.82603,0.97514,1,0.9778,0.88015,0.36218,0.38449,0.75738,0.00127338,0.00127338,0.00127338
13,356.462,0.42872,0.43402,0.82478,0.9745,1,0.9836,0.86684,0.39707,0.38273,0.76168,0.00125923,0.00125923,0.00125923
14,382.976,0.41096,0.4188,0.81716,0.97653,1,0.98608,0.80049,0.47294,0.38947,0.76961,0.00124509,0.00124509,0.00124509
15,409.596,0.40582,0.41167,0.82512,0.97447,1,0.98532,0.86426,0.3834,0.34971,0.76091,0.00123094,0.00123094,0.00123094
16,436.597,0.40089,0.40577,0.82149,0.97618,1,0.985,0.86052,0.40122,0.355,0.76811,0.00121679,0.00121679,0.00121679
17,464.858,0.39675,0.40159,0.81728,0.97684,1,0.98392,0.84541,0.41447,0.34151,0.76029,0.00120265,0.00120265,0.00120265
18,491.877,0.37848,0.38045,0.81412,0.97374,1,0.98532,0.83355,0.40785,0.36477,0.75741,0.0011885,0.0011885,0.0011885
19,518.919,0.39004,0.38439,0.8186,0.97683,1,0.98425,0.83114,0.42879,0.32944,0.76312,0.00117435,0.00117435,0.00117435
20,545.885,0.37971,0.37197,0.81814,0.97549,1,0.98403,0.84649,0.40294,0.32264,0.76192,0.00116021,0.00116021,0.00116021
21,572.795,0.39959,0.37138,0.81769,0.97655,1,0.98468,0.85443,0.40145,0.32509,0.76276,0.00114606,0.00114606,0.00114606
22,599.92,0.3841,0.36202,0.8135,0.97617,1,0.98758,0.85306,0.39698,0.31275,0.75729,0.00113191,0.00113191,0.00113191
23,627.215,0.3839,0.36384,0.82358,0.9744,1,0.97995,0.85967,0.39528,0.31594,0.76238,0.00111776,0.00111776,0.00111776
24,654.371,0.38267,0.35341,0.81553,0.97641,1,0.98855,0.84912,0.36037,0.30051,0.74948,0.00110362,0.00110362,0.00110362
25,681.682,0.39073,0.34316,0.81972,0.97683,1,0.98468,0.84315,0.35841,0.27947,0.7493,0.00108947,0.00108947,0.00108947
26,710.602,0.36693,0.33928,0.81451,0.9766,1,0.98575,0.87275,0.34656,0.27639,0.74795,0.00107532,0.00107532,0.00107532
27,737.434,0.35164,0.32788,0.81251,0.97673,1,0.98651,0.88239,0.3346,0.26182,0.74596,0.00106118,0.00106118,0.00106118
28,764.384,0.35525,0.32918,0.81395,0.97594,1,0.98608,0.86157,0.3461,0.28028,0.75247,0.00104703,0.00104703,0.00104703
29,791.484,0.34144,0.31694,0.80845,0.97571,1,0.9836,0.88687,0.32844,0.26358,0.74561,0.00103288,0.00103288,0.00103288
30,821.986,0.34174,0.30854,0.80894,0.97696,1,0.98575,0.86394,0.40509,0.29971,0.75658,0.00101873,0.00101873,0.00101873
31,849.11,0.36764,0.32489,0.81197,0.97493,1,0.9879,0.82525,0.45108,0.29324,0.7618,0.00100459,0.00100459,0.00100459
32,876.311,0.36726,0.32188,0.81507,0.97611,1,0.98608,0.86878,0.41367,0.27488,0.75932,0.00099044,0.00099044,0.00099044
33,903.935,0.35846,0.30921,0.80817,0.97669,1,0.98253,0.88347,0.3454,0.25948,0.74879,0.000976293,0.000976293,0.000976293
34,932.163,0.35298,0.30734,0.81168,0.97697,1,0.98511,0.85873,0.35081,0.23996,0.7461,0.000962146,0.000962146,0.000962146
35,959.065,0.35887,0.3117,0.81456,0.97679,1,0.98651,0.87397,0.3511,0.24264,0.75122,0.000947999,0.000947999,0.000947999
36,986.477,0.37234,0.31041,0.82015,0.97454,1,0.98468,0.87936,0.33778,0.24142,0.74617,0.000933851,0.000933851,0.000933851
37,1013.56,0.35472,0.30615,0.81072,0.97643,1,0.98973,0.86585,0.34567,0.23749,0.74703,0.000919704,0.000919704,0.000919704
38,1040.32,0.33295,0.29182,0.80663,0.97275,1,0.99038,0.87339,0.31805,0.22569,0.74212,0.000905557,0.000905557,0.000905557
39,1067.32,0.32433,0.28772,0.80342,0.97646,1,0.98683,0.85113,0.34984,0.24866,0.74537,0.00089141,0.00089141,0.00089141
40,1094.55,0.31892,0.2792,0.80813,0.97697,1,0.98715,0.87206,0.34439,0.24156,0.74617,0.000877263,0.000877263,0.000877263
